RA,DEC
113.65001898992675,31.888636439629515
111.43196555860217,27.798278897814768
114.7914788944463,34.584626113735105
116.5312113897374,18.51016276673624
125.01613082916707,27.218616939196668
121.94100666363111,21.581973598425297
123.28697418000758,29.656585288834297
113.98070944478263,26.895985840514342
107.78495889925217,30.245274732952648
110.5111883171929,36.76063555874844
116.87639999472432,33.41576498642449
122.61343779295909,25.508121946472446
112.27756332978902,31.78410001435925
115.82786668387926,28.88404666979524
110.868965565208,25.05059668081418
118.91626554838838,19.884063067420747
106.54845056439714,34.47408083609438
107.84616250274793,26.856663617513664
125.13395056136632,24.02235609668699
126.69615888825196,26.93548970731919
122.39662027969698,29.09309500410529
112.33525581908982,28.11839610792942
118.37431443903677,26.76585445147529
114.63682528852237,35.04848581947762
111.13935331999956,27.637818883758708
120.23276388283655,25.392819453676502
106.8433777791213,34.00936081777846
117.98667220443181,19.325173327845807
126.69514917184395,26.934341953125056
120.87957666201594,27.794414716432318
112.45324972822716,27.9161958222978
121.57666305208907,22.63551055112471
117.14019305658145,23.14098862391447
105.32091695280938,32.41460276915745
113.78673444699513,30.96091056659676
116.02884415209716,25.784209156089915
108.98822915825387,27.897427228529278
117.75987029355665,33.23363693850336
115.24384609608964,23.018557233563335
115.84247416604104,22.399435274077373
120.4323822099472,25.089439724487768
127.45644388109092,26.192881935887204
106.44689138682844,31.3932811095346
117.75085388353716,31.613630292577763
105.87650862499848,29.33899862282884
115.68168556700303,34.000226677054606
110.86730083011243,22.945434445547534
109.51705693910114,30.955925282549742
120.20040777796684,19.81623470620263
107.0553238881144,33.83245359627923
120.25330584154209,23.58315917146877
112.98192471520565,38.896120275488045
113.63162084005123,28.68658000099574
126.66590777553097,24.534355012882198
108.67477777788741,24.885188595733126
114.8000313832301,24.222528613808702
114.97541055934697,32.00982195476309
116.28890279633396,20.316048050338775
123.42380277004486,23.13775778986113
117.48759139344378,28.198784734747825
122.20669415789516,27.480458344812472
120.13432083365825,29.215055289991707
114.5598463922742,24.36039529366549
106.85367668515836,28.176694732939733
113.3534547109723,37.18788362464889
122.55464305313859,25.84455026837017
109.37726277729064,31.69810584033471
107.21846443715866,33.933916376301354
115.58060083144294,30.167865821323076
124.72807639453389,26.335428884001182
109.2640249994038,26.689787788586433
121.40438943975121,27.52976028750278
114.27275639127598,20.157061385901734
108.26752057097657,31.965496121965582
118.33777139679637,28.052019168442516
119.38603418846046,32.65674389588255
124.52759166396974,26.424646929484375
105.02925083342514,29.772134728325554
116.33068263380711,28.026310298455115
113.65100906851525,31.888852189361828
116.11194807391293,24.398123876140744
