field_x,field_y,field_ra,field_dec,index_x,index_y,index_ra,index_dec,index_id,field_id,match_weight,FLUX,BACKGROUND
3735.5,1417.5,113.65875372933326,31.868548880372032,3740.781839609879,1414.6671719739434,113.65100906851525,31.888852189361828,79,1,0.8847754916547226,219.56937,23.609085
2522.25390625,1734.513916015625,116.3248025539764,28.022976681936836,2521.8705547288955,1732.8268936776087,116.33068263380711,28.026310298455115,78,2,0.9998581489764815,219.26456,24.0271
4475.5,2703.5,107.78127060777399,30.246308349103796,4474.662760215282,2703.1441979499527,107.78495889925217,30.245274732952648,8,4,0.9998225208552611,135.84804,24.677612
1843.5,2485.5,116.1100459091959,24.40834948481098,1841.089548168959,2487.1630856156767,116.11194807391293,24.398123876140744,80,9,0.9993925147027457,173.96973,23.35141
2927.82373046875,3273.833984375,110.89354420028612,25.055885324556893,2931.4194349092304,3279.168979449525,110.868965565208,25.05059668081418,14,19,0.9335737086710659,118.64298,25.55935
911.5,1073.5,122.62537381946083,25.50600341198067,914.0017933918066,1075.3507421262857,122.61343779295909,25.508121946472446,11,21,0.9995563498493598,79.486755,19.637833
2713.5,2361.5,114.00229796832637,26.898587707681436,2716.8721552059405,2365.7536049489163,113.98070944478263,26.895985840514342,7,24,0.32718846571572024,159.4419,25.169312
3951.5,1659.5,112.30029990186428,31.768103134495888,3958.552902853511,1659.922133040927,112.27756332978902,31.78410001435925,12,25,0.6194848243499289,148.47328,23.904099
2775.5,1651.5,115.83481380232112,28.87351016104183,2778.7779511018875,1650.6113043754347,115.82786668387926,28.88404666979524,13,26,0.9929356914014028,136.1883,24.078674
1308.4208984375,1543.080322265625,120.22655879868202,25.395240515920737,1306.791444919067,1542.378415534267,120.23276388283655,25.392819453676502,25,28,0.9998559281411877,74.36178,20.301735
4284.126953125,2274.11279296875,109.54470209429523,30.94517300513472,4291.149246594762,2276.29865546232,109.51705693910114,30.955925282549742,47,29,0.8981121767880716,66.9426,24.335335
4071.507080078125,682.1256103515625,114.79362868510772,34.58530581407999,4071.7554244132775,682.6234355726478,114.7914788944463,34.584626113735105,2,33,0.9998643141515787,132.06201,21.664856
1915.5,1617.5,118.36555782005856,26.772402084760294,1912.612098986102,1617.1814260381338,118.37431443903677,26.76585445147529,22,34,0.998943370560508,119.36559,22.131721
1402.4910888671875,2549.14599609375,117.1354890892262,23.139596941207436,1401.8803523097047,2547.99111825978,117.14019305658145,23.14098862391447,32,38,0.9998859414910946,58.54361,22.973785
1691.5,967.5,120.86915793921067,27.79914191586263,1688.7068599037989,966.4852323375512,120.87957666201594,27.794414716432318,29,40,0.9994437491753547,118.690346,20.787086
2131.344482421875,2225.65673828125,116.03637888941762,25.79000387052497,2131.521871035558,2228.127203983112,116.02884415209716,25.784209156089915,35,41,0.9995669558344047,105.03373,23.921928
3495.5,577.5,116.87201779324619,33.410483702097736,3495.834623190099,575.7326910358349,116.87639999472432,33.41576498642449,10,42,0.9998352791051967,103.95054,21.509232
3811.3994140625,2999.6005859375,109.01828390738441,27.894866761344748,3817.4832842336355,3004.040117093759,108.98822915825387,27.897427228529278,36,43,0.8318632812216475,78.984116,26.46251
1210.142333984375,1563.7962646484375,120.42824172355311,25.09079546519663,1209.094212936185,1563.2691118298876,120.4323822099472,25.089439724487768,40,44,0.9998970064740129,68.066574,19.963692
927.5,1887.5,120.25000669927717,23.570738218269288,929.4508477501729,1884.4865981627447,120.25330584154209,23.58315917146877,50,45,0.999213690131162,57.9786,20.208046
4191.5,611.5,114.6313397608228,35.06084018712444,4188.197692516558,613.1507314075086,114.63682528852237,35.04848581947762,23,56,0.9993530971619335,93.62442,21.125076
3837.5,3411.5,107.85083126839227,26.860262319116497,3837.748269051074,3413.0460257301047,107.84616250274793,26.856663617513664,17,57,0.9997991750922609,72.120964,27.444756
1725.3814697265625,2918.09814453125,115.24323717629908,23.019277077906818,1725.101859550064,2918.1165813339876,115.24384609608964,23.018557233563335,38,58,0.9999134627049971,73.75451,23.38694
1547.5,919.5,121.39887078437498,27.540424868706943,1544.3113921061565,920.4897827098038,121.40438943975121,27.52976028750278,71,59,0.999198705130241,63.14424,20.40738
992.95751953125,1020.8025512695312,122.56743430423144,25.84568301640012,994.9140562209425,1023.4161041751648,122.55464305313859,25.84455026837017,65,60,0.9994782730363946,50.559067,19.90905
3807.392333984375,656.2288208007812,115.68706637900472,33.995432930716134,3809.24799921271,656.1586409931713,115.68168556700303,34.000226677054606,45,64,0.9998175650585251,78.43853,21.672508
3312.2724609375,3690.32421875,108.67849649236682,24.883021681198116,3313.4146402787483,3690.505175952767,108.67477777788741,24.885188595733126,54,65,0.9998242573566106,70.78559,28.054924
3313.5,463.5,117.76187399232322,33.23353128350157,3313.852481304896,463.82464041972366,117.75987029355665,33.23363693850336,37,72,0.9999010867852988,73.609,21.022438
2045.5,2753.5,114.80970781485858,24.23327903184444,2045.130508910133,2757.3646140604624,114.8000313832301,24.222528613808702,55,73,0.9973887539983116,64.33894,23.311516
1702.2359619140625,438.6918029785156,122.40834304599714,29.108879232701863,1700.875543031117,443.79880118395226,122.39662027969698,29.09309500410529,20,75,0.9900277019580659,51.23105,18.289917
4270.42919921875,3296.476806640625,106.84252393741237,28.177180378461678,4268.2637614858995,3294.774073593183,106.85367668515836,28.176694732939733,63,76,0.9996456330205109,41.21353,26.123291
4451.5,2141.5,109.39026378003166,31.6934566513404,4454.733355985935,2142.598825011787,109.37726277729064,31.69810584033471,66,84,0.9994729301346086,41.768387,24.131561
